ShortName	Unit_ID	PlantID	max	lonAdj	ladAdj
CAMANCHE	387495	73486	41.01	-120.9375	38.1875
PARDEE	387496	76463	41.01	-120.9375	38.1875
WEWARNE	387520	77342	0.85	-118.8125	34.5625
ROZA	387523	78309	77	-120.4375	46.6875
SHOSHOWY	387525	78064	53.68	-109.0625	44.5625
GLENDO	387526	74615	90.66	-104.9375	42.4375
MRRWPTHY	387527	75985	48.86	-107.4375	38.4375
BLUEMESA	387528	73247	48.86	-107.4375	38.4375
COLLIERV	387543	73756	45.98	-120.3125	38.1875
GTWAYHY	387583	74550	31.24	-111.9375	41.1875
FOSTER	387598	74435	78.55	-122.6875	44.4375
LOSTCREE	387599	75569	59.95	-122.6875	42.6875
LITTLEGO	387600	75519	1440.58	-118.0625	46.5625
JOHNDAY	387604	75182	4337.54	-120.8125	45.6875
DEXTER(O	387605	74001	107.63	-122.8125	43.9375
DONPEDRO	387608	74055	69.13	-120.4375	37.6875
POOLE	387634	76671	3.38	-119.1875	37.9375
KAWEAH1	387635	75248	9.11	-118.8125	36.4375
BISHCRK4	387636	73202	7.79	-118.5625	37.4375
WASHOE	387647	77264	20.93	-119.9375	39.5625
FLEISH	387652	74377	20.93	-119.9375	39.5625
MOCCAS	387658	75924	67.45	-120.3125	37.8125
PELTON	387671	76520	119.52	-121.1875	44.8125
TULLOCH	387676	77546	56.88	-120.6875	37.8125
FORBESTO	387680	74405	82	-121.3125	39.5625
EASTSIDE	387683	74151	76.81	-121.8125	42.3125
NEWCASTL	387685	76157	79.05	-121.0625	38.8125
WESTPOIN	387687	77179	28.32	-120.5625	38.4375
SPRINGGA	387688	77894	31.48	-120.1875	38.1875
PHP1(BUL	387700	76406	4687.88	-122.1875	45.5625
POWERDAL	387708	76723	4583.8	-121.5625	45.6875
MCSWAIN	387711	75774	45.33	-120.3125	37.5625
KAWEAH3	387726	75250	3.25	-118.6875	36.5625
BISHCRK3	387727	73201	7.79	-118.5625	37.4375
BIGCRK8	387728	73167	65.46	-119.4375	37.1875
BIGCRK4	387729	73166	67.55	-119.5625	37.0625
YORBALIN	387745	76998	40.5	-117.9375	33.8125
SEPULVED	387746	78119	391	-118.4375	33.9375
MERCEDFA	387783	75802	45.33	-120.3125	37.5625
HALSEY	387784	74783	76.91	-121.0625	38.9375
BELDEN	387785	73105	70.66	-121.3125	39.9375
AZUSA	387792	72990	7.82	-117.9375	34.1875
OLMSTEAD	387794	76326	13.84	-111.6875	40.3125
CUTLER(U	387795	73904	73.02	-111.9375	41.8125
ORPROSP2	387798	76754	47.29	-122.5625	42.6875
FISHCREE	387799	74357	30.98	-122.4375	43.3125
CLRWTR2	387800	73709	30.98	-122.4375	43.3125
BOXCANYO	387803	73298	690.25	-117.4375	48.8125
AGWISHON	393132	72709	67.55	-119.5625	37.0625
ABIQUIUD	393217	72764	14.09	-106.3125	36.1875
ALDER	393287	72810	56	-122.3125	46.8125
AMERICAN	393401	72873	265.82	-112.8125	42.8125
AMESHYDR	393408	72880	2.7	-107.8125	37.8125
ANDRSNHY	393433	72892	24.36	-115.5625	43.4375
ASHTON	393529	72950	49.1	-111.5625	44.0625
BALCH1	393613	73014	55.05	-119.1875	36.8125
BALCH2	393614	73015	55.05	-119.1875	36.8125
BIGCLIFF	393875	73161	70.88	-122.3125	44.6875
BIGCRK1	393876	73162	58.21	-119.3125	37.1875
BIGCRK2	393880	73163	58.21	-119.3125	37.1875
BIGCRK2A	393884	73164	58.21	-119.3125	37.1875
BIGCRK3	393886	73165	65.46	-119.4375	37.1875
BIGFORK	393901	73171	271.47	-114.0625	47.9375
BIGTHOMP	393917	73182	9.08	-105.1875	40.4375
BISHCRK2	393943	73200	1.97	-118.6875	37.1875
BISHCRK5	393952	73203	7.79	-118.5625	37.4375
BLACKBUT	393954	73207	23.27	-122.3125	39.9375
BLACKCAN	393955	73208	101	-116.5625	43.8125
BLACKEAG	393958	73210	295.06	-111.3125	47.4375
BOREL	394114	73278	21.94	-118.5625	35.5625
BOUNDAHY	394124	73289	717.86	-117.4375	49.0625
BOWMAN	394141	73297	20.93	-120.6875	39.3125
BOYSEN	394150	73303	53.51	-108.1875	43.4375
BROWNLEE	394230	73356	631.85	-116.8125	44.9375
BUCKSCRE	394291	73383	70.66	-121.3125	39.9375
BUFFALOB	394295	73386	53.68	-109.0625	44.5625
CJSTRIKE	394402	73427	320.91	-115.9375	42.9375
CABINETG	394433	73454	584.97	-116.0625	48.0625
CAMINO	394481	73495	24.12	-120.5625	38.8125
CAMPFARW	394483	73496	11.35	-121.3125	39.0625
CANYONFE	394498	73507	230.2	-111.8125	46.6875
CARIBOU1	394527	73520	58.07	-121.1875	40.0625
CARIBOU2	394530	73521	58.07	-121.1875	40.0625
CARMENSM	394538	73523	28.05	-122.0625	44.3125
CASCADID	394606	73541	6.71	-115.6875	44.3125
CASTA_HY	394617	73547	0.66	-118.6875	34.5625
CDRFALHY	394640	73563	49.54	-121.6875	47.4375
CENTERVI	394666	73580	25.26	-121.6875	39.8125
CHELAN	394759	73623	2458.93	-120.0625	47.8125
CHICAGOP	394813	73648	31.6	-120.9375	39.0625
CHIEFJOS	394821	73654	2317.27	-119.6875	48.0625
CITYPOWE	394885	73679	230.02	-112.0625	43.5625
CLRWTR1	394925	73708	30.98	-122.4375	43.3125
COCHRANE	394973	73732	301.62	-111.0625	47.5625
COLGATE	395017	73755	107.37	-121.1875	39.3125
CONDIT	395079	73792	4583.8	-121.5625	45.6875
COPCO1	395126	73817	84.43	-122.4375	41.9375
COPCO2	395128	73818	84.43	-122.4375	41.9375
CORONA	395160	73832	30.19	-117.6875	33.8125
CTTNWDHY	395182	73845	0.42	-118.0625	36.4375
COUGAR	395185	73846	106.43	-122.3125	44.1875
COVEHYDR	395200	73853	63.54	-121.5625	40.9375
COWLITZF	395212	73859	122.99	-122.1875	46.4375
COYOTECR	395215	73862	40.5	-117.9375	33.8125
CRESTA	395228	73873	73.41	-121.4375	39.8125
CROSSCUT	395248	73881	75.03	-112.1875	33.3125
CUSHMAN1	395302	73901	17673.9	-123.1875	47.3125
CUSHMAN2	395304	73902	17673.9	-123.1875	47.3125
DESABLA	395400	73949	25.26	-121.6875	39.8125
DRCRKCA	395418	73958	31.05	-120.9375	39.3125
DETROIT	395493	73996	70.88	-122.3125	44.6875
DEVILCAN	395495	73998	4.15	-117.4375	34.1875
DIABLO	395509	74002	95.07	-121.1875	48.6875
DIAMONDV	395517	74005	1.73	-117.1875	33.6875
DIONRHOL	395563	74033	27.18	-119.8125	37.9375
DONNELLS	395599	74057	28.13	-120.0625	38.1875
DROP1	395638	74079	1.09	-115.4375	32.8125
DROP2(CA	395639	74080	1.09	-115.4375	32.8125
DROP3(CA	395641	74082	1.09	-115.4375	32.8125
DROP4	395645	74084	1.09	-115.4375	32.8125
DRUM1	395647	74086	26.39	-120.8125	39.3125
DRUM2	395651	74087	26.39	-120.8125	39.3125
DTCHFLA1	395673	74108	31.05	-120.9375	39.3125
DTCHFLA2	395674	74109	31.05	-120.9375	39.3125
DWORSHAK	395689	74113	368.58	-116.3125	46.4375
EGLPTHY	395711	74130	11.74	-122.6875	42.5625
ECHODAM	395777	74170	8.62	-111.4375	40.9375
EDWAR_HY	395872	74181	175.49	-121.5625	39.5625
ELDRDOHY	395898	74191	27.77	-120.6875	38.8125
ELVADODA	395901	74193	11.25	-106.6875	36.5625
ELECTRA(	395902	74197	40.02	-120.6875	38.3125
ELECTRON	395913	74201	14.05	-121.9375	46.9375
ELEPHANT	395917	74202	80.79	-107.3125	33.0625
ESTES	396056	74274	7.04	-105.4375	40.4375
ETIWANDA	396065	74277	4.15	-117.4375	34.1875
FALLCREE	396124	74313	98.12	-122.5625	41.8125
FALLSCRE	396144	74323	70.79	-122.4375	44.4375
