name,category,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
Butt_Valley_1,Hydro,41,41,41,41,41,41,41,41,41,41,41,41
Bypass_GEN1,Hydro_ZeroK,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933
Bypass_GEN2,Hydro_ZeroK,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933
Bypass_GEN3,Hydro_ZeroK,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933,3.319999933
C_J_Strike_1,Hydro,27.60000038,27.60000038,27.60000038,27.60000038,27.60000038,27.60000038,27.60000038,27.60000038,27.60000038,27.60000038,27.60000038,27.60000038
CabinetGorge1,Hydro_FixedDispatch,63.81000137,55.95000076,58.97999954,57.22000122,60.25999832,47.40999985,61.09999847,63.66999817,63.34000015,60.70999908,58.79000092,39.52999878
CabinetGorge2,Hydro_FixedDispatch,78.63999939,68.94999695,72.68000031,70.51000214,74.25,58.41999817,75.30000305,78.45999908,78.05999756,74.81999969,72.44999695,48.72000122
CabinetGorge3,Hydro_FixedDispatch,78.63999939,68.94999695,72.68000031,70.51000214,74.25,58.41999817,75.30000305,78.45999908,78.05999756,74.81999969,72.44999695,48.72000122
CabinetGorge4,Hydro_FixedDispatch,63.81000137,55.95000076,58.97999954,57.22000122,60.25999832,47.40999985,61.09999847,63.66999817,63.34000015,60.70999908,58.79000092,39.52999878
Camanche_1,Hydro_FixedDispatch,4.300000191,4.170000076,4,4.369999886,4.809999943,3.74000001,3.549999952,3.450000048,4.03000021,4.460000038,4.489999771,4.110000134
Camanche_2,Hydro_FixedDispatch,4.300000191,4.170000076,4,4.369999886,4.809999943,3.74000001,3.549999952,3.450000048,4.03000021,4.460000038,4.489999771,4.110000134
Camanche_3,Hydro_FixedDispatch,4.300000191,4.170000076,4,4.369999886,4.809999943,3.74000001,3.549999952,3.450000048,4.03000021,4.460000038,4.489999771,4.110000134
