name,category,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
Aberfeldie2-1,Hydro,5.914799858,5.914799858,5.723999862,5.914799858,5.342399872,5.914799858,5.723999862,5.914799858,5.723999862,5.914799858,5.914799858,5.723999862
Aberfeldie2-2,Hydro,5.914799858,5.914799858,5.723999862,5.914799858,5.342399872,5.914799858,5.723999862,5.914799858,5.723999862,5.914799858,5.914799858,5.723999862
Aberfeldie2-3,Hydro,5.914799858,5.914799858,5.723999862,5.914799858,5.342399872,5.914799858,5.723999862,5.914799858,5.723999862,5.914799858,5.914799858,5.723999862
Abiquiu1,Hydro_ZeroK,5.133600071,5.133600071,4.968000068,5.133600071,4.636800064,5.133600071,4.968000068,5.133600071,4.968000068,5.133600071,5.133600071,4.968000068
Abiquiu2,Hydro_ZeroK,5.133600071,5.133600071,4.968000068,5.133600071,4.636800064,5.133600071,4.968000068,5.133600071,4.968000068,5.133600071,5.133600071,4.968000068
Akolkolex,Hydro_ZeroK,7.358160255,7.358160255,7.120800247,7.358160255,6.64608023,7.358160255,7.120800247,7.358160255,7.120800247,7.358160255,7.358160255,7.120800247
Alder11,Hydro,18.6,18.6,18,18.6,16.8,18.6,18,18.6,18,18.6,18.6,18
Alder12,Hydro,18.6,18.6,18,18.6,16.8,18.6,18,18.6,18,18.6,18.6,18
Alouette,Hydro,6.651359688,6.651359688,6.436799698,6.651359688,6.007679718,6.651359688,6.436799698,6.651359688,6.436799698,6.651359688,6.651359688,6.436799698
Alta_PH1,Hydro_ZeroK,0.215759994,0.186,0.165600003,0.178559996,0.215039995,0.238079995,0.28079999,0.386879986,0.381599979,0.379439993,0.334799991,0.237600009
Alta_PH2,Hydro_ZeroK,0.215759994,0.186,0.165600003,0.178559996,0.215039995,0.238079995,0.28079999,0.386879986,0.381599979,0.379439993,0.334799991,0.237600009
AmericanFalls1,Hydro,22.90032051,22.90032051,22.1616005,22.90032051,20.68416046,22.90032051,22.1616005,22.90032051,22.1616005,22.90032051,22.90032051,22.1616005
AmericanFalls2,Hydro,22.90032051,22.90032051,22.1616005,22.90032051,20.68416046,22.90032051,22.1616005,22.90032051,22.1616005,22.90032051,22.90032051,22.1616005
AmericanFalls3,Hydro,22.90032051,22.90032051,22.1616005,22.90032051,20.68416046,22.90032051,22.1616005,22.90032051,22.1616005,22.90032051,22.90032051,22.1616005
AmesHydro,Hydro_ZeroK,2.678399929,2.678399929,2.591999932,2.678399929,2.419199936,2.678399929,2.591999932,2.678399929,2.591999932,2.678399929,2.678399929,2.591999932
