name,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
Aberfeldie2-1,1.734001,1.582091,1.673901,1.711813,1.480228,2.093961,2.06702,3.694443,3.208737,1.713408,1.0403,1.207707
Aberfeldie2-2,1.734001,1.582091,1.673901,1.711813,1.480228,2.093961,2.06702,3.694443,3.208737,1.713408,1.0403,1.207707
Aberfeldie2-3,1.734001,1.582091,1.673901,1.711813,1.480228,2.093961,2.06702,3.694443,3.208737,1.713408,1.0403,1.207707
Abiquiu1,1.34,1.109,1.195,1.338,1.227,1.279,1.278,1.803,1.681,1.562,1.297,1.028
Abiquiu2,1.34,1.109,1.195,1.338,1.227,1.279,1.278,1.803,1.681,1.562,1.297,1.028
Akolkolex,2.57,3.376,2.856,2.634,2.535,2.212,2.681,4.231,4.61,4.414,3.806,3.18
Alder11,9.584,6.376,8.833,8.993,6.024,5.111,5.627,9.455,6.535,6.379,4.477,4.622
Alder12,9.584,6.376,8.833,8.993,6.024,5.111,5.627,9.455,6.535,6.379,4.477,4.622
Alouette,1.950751,1.779853,1.883138,1.92579,1.665257,2.355706,2.325397,4.156248,3.609829,1.927583,1.170338,1.35867
Alta_PH1,0.19,0.161,0.148,0.154,0.188,0.206,0.247,0.337,0.334,0.334,0.292,0.211
Alta_PH2,0.19,0.161,0.148,0.154,0.188,0.206,0.247,0.337,0.334,0.334,0.292,0.211
AmericanFalls1,0,1.55,0,0,0,0,5.341,8.837,16.879,20.507,14.323,7.82
AmericanFalls2,0,1.55,0,0,0,0,5.341,8.837,16.879,20.507,14.323,7.82
AmericanFalls3,0,1.55,0,0,0,0,5.341,8.837,16.879,20.507,14.323,7.82
AmesHydro,0.885,0.673,0.591,0.621,0.831,0.877,0.888,1.335,1.298,1.341,1.097,0.842
AndersonRanch1,4.022,3.33,3.588,4.017,3.686,3.841,3.838,5.413,5.047,4.691,3.893,3.086
AndersonRanch2,4.022,3.33,3.588,4.017,3.686,3.841,3.838,5.413,5.047,4.691,3.893,3.086
Angels,0.266,0.225,0.207,0.216,0.263,0.289,0.346,0.471,0.468,0.467,0.409,0.295
ArenaDrop,0.085,0.077,0.076,0.078,0.087,0.093,0.121,0.173,0.176,0.176,0.148,0.099
ArizonaFalls,0.154,0.174,0.136,0.241,0.168,0.111,0.109,0.27,0.238,0.301,0.258,0.274
Arrow_Lake1,15.29,38.35,11.591,5.954,11.091,0,7.596,13.291,45.824,51.078,37.581,20.812
Arrow_Lake2,15.29,38.35,11.591,5.954,11.091,0,7.596,13.291,45.824,51.078,37.581,20.812
Ash_River_1,6.069005,5.53732,5.858653,5.991347,5.180799,7.328864,7.234569,12.93055,11.23058,5.996927,3.641051,4.226974
Ashlu_Creek_1,4.274,5.615,4.749,4.38,4.216,3.679,4.459,7.036,7.666,7.34,6.329,5.289
Ashlu_Creek_2,4.274,5.615,4.749,4.38,4.216,3.679,4.459,7.036,7.666,7.34,6.329,5.289
Ashlu_Creek_3,4.274,5.615,4.749,4.38,4.216,3.679,4.459,7.036,7.666,7.34,6.329,5.289
Azusa,0.931,0.778,0.831,0.924,0.863,0.901,0.928,1.31,1.236,1.162,0.966,0.748
Balch2-2,20.177,16.122,12.289,20.442,18.598,19.15,36.569,39.414,37.847,37.375,26.22,22.022
Balch2-3,20.984,16.766,12.78,21.259,19.341,19.917,38.031,40.991,39.361,38.87,27.269,22.902
BarberDamGEN1,0.77,0.702,0.689,0.712,0.794,0.845,1.107,1.572,1.603,1.607,1.348,0.902
Barrier,2.647,3.28,2.977,2.932,2.729,2.678,2.291,2.817,3.767,4.192,3.081,2.414
Bear_Creek,0.949,0.804,0.738,0.771,0.94,1.032,1.237,1.683,1.672,1.669,1.462,1.055
Bearspaw_1,4.018,4.978,4.518,4.45,4.142,4.064,3.477,4.276,5.718,6.363,4.676,3.664
Belden_1,40.898,36.473,15.276,19.766,13.136,4.518,3.9,11.62,15.152,40.372,62.466,52.731
