name,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
Folsom_2,1.519999981,1.690000057,1.539999962,1.600000024,2.220000029,1.559999943,1.480000019,0.07,2.200000048,2.279999971,1.379999995,1.620000005
Folsom_3,1.519999981,1.690000057,1.539999962,1.600000024,2.220000029,1.559999943,1.480000019,0.07,2.200000048,2.279999971,1.379999995,1.620000005
Fontana1,0,0,0,0,0,0,0,0,0,0,0,0
Fontana2,0,0,0,0,0,0,0,0,0,0,0,0
Fontenelle_1,0,0,0,0,0,0,0,0,0,0,0,0
Foothill_Feeder,0,0,0,0,0,0,0,0,0,0,0,0
Foothill_LA,0,0,0,0,0,0,0,0,0,0,0,0
FoothillFeeder1,0,0,0,0,0,0,0,0,0,0,0,0
FoothillFeeder2,0,0,0,0,0,0,0,0,0,0,0,0
Foothills_CO,0,0,0,0,0,0,0,0,0,0,0,0
Forbestown_1,0,0,0,0,0,0,0,0,0,0,0,0
Forks_Butte1,0,0,0,0,0,0,0,0,0,0,0,0
Forks_Butte2,0,0,0,0,0,0,0,0,0,0,0,0
Fort_Peck_1,0,0,0,0,0,0,0,0,0,0,0,0
Fort_Peck_2,0,0,0,0,0,0,0,0,0,0,0,0
FortPeck3,0,0,0,0,0,0,0,0,0,0,0,0
FortSeward_QF,0,0,0,0,0,0,0,0,0,0,0,0
Foster_1,0,0,0,0,0,0,0,0,0,0,0,0
Foster_2,0,0,0,0,0,0,0,0,0,0,0,0
Frankenheimer,0,0,0,0,0,0,0,0,0,0,0,0
Franklin_1,0,0,0,0,0,0,0,0,0,0,0,0
FremontCanyon1,0,0,0,0,0,0,0,0,0,0,0,0
FremontCanyon2,0,0,0,0,0,0,0,0,0,0,0,0
French_Meadows,0,0,0,0,0,0,0,0,0,0,0,0
FriantFR1,0,0,0,0,0,0,0,0,0,0,0,0
FriantM1,0,0,0,0,0,0,0,0,0,0,0,0
FriantRO1,0,0,0,0,0,0,0,0,0,0,0,0
Fulton_QF,0,0,0,0,0,0,0,0,0,0,0,0
Furry_Creek,2.220000029,2.220000029,2.220000029,2.220000029,2.220000029,2.220000029,2.220000029,2.220000029,2.220000029,2.220000029,2.220000029,2.220000029
Gem_State_1,0,0,0,0,0,0,0,0,0,0,0,0
Georgetown_1,0,0,0,0,0,0,0,0,0,0,0,0
Georgetown_2,0,0,0,0,0,0,0,0,0,0,0,0
GHOST1_1,0,0,0,0,0,0,0,0,0,0,0,0
GHOST2_2,0,0,0,0,0,0,0,0,0,0,0,0
GHOST3_3,0,0,0,0,0,0,0,0,0,0,0,0
GHOST4_4,0,0,0,0,0,0,0,0,0,0,0,0
Glen_Canyon1,0,0,0,0,0,0,0,0,0,0,0,0
Glen_Canyon2,0,0,0,0,0,0,0,0,0,0,0,0
Glen_Canyon3,0,0,0,0,0,0,0,0,0,0,0,0
Glen_Canyon4,0,0,0,0,0,0,0,0,0,0,0,0
Glen_Canyon5,0,0,0,0,0,0,0,0,0,0,0,0
Glen_Canyon6,0,0,0,0,0,0,0,0,0,0,0,0
Glen_Canyon7,0,0,0,0,0,0,0,0,0,0,0,0
Glen_Canyon8,0,0,0,0,0,0,0,0,0,0,0,0
Glendo_1,0,0,0,0,0,0,0,0,0,0,0,0
Glendo_2,0,0,0,0,0,0,0,0,0,0,0,0
GordonMShrum01,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962
GordonMShrum02,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962
GordonMShrum03,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962
GordonMShrum04,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962
GordonMShrum05,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962
GordonMShrum06,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962
GordonMShrum07,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962
GordonMShrum08,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962
GordonMShrum09,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962
GordonMShrum10,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962,6.289999962
Gorge21,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114
Gorge22,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114
Gorge23,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114,8.880000114
Gorge24,23.37000084,23.37000084,23.37000084,23.37000084,23.37000084,23.37000084,23.37000084,23.37000084,23.37000084,23.37000084,23.37000084,23.37000084
GosselinHydroGEN1,0,0,0,0,0,0,0,0,0,0,0,0
