BA,TEPCC region,Regions
AVA,Northwest,Northwest
BANC,California,NCalifornia
BPAT,Northwest,Northwest
CHPD,Northwest,Northwest
CIPV,California,NCalifornia
CISC,California,SCalifornia
DOPD,Northwest,Northwest
GCPD,Northwest,Northwest
IPFE,Basin,Basin
IPMV,Basin,Basin
IPTV,Basin,Basin
LDWP,California,SCalifornia
NEVP,Basin,Basin
NWMT,Northwest,Northwest
PACW,Northwest,Northwest
PAID,Southwest,Southwest
PGE,Northwest,Northwest
PSCO,Rockies,Rockies
PSEI,Northwest,Northwest
SCL,Northwest,Northwest
SRP,Southwest,Southwest
TIDC,California,NCalifornia
TPWR,Northwest,Northwest
WACM,Rockies,Rockies
WALC,Southwest,Southwest
WAUW,Northwest,Northwest
