productionRank,Name,Power_Model_1_true_0_false_,lat_1_8_,lon_1_8_,nameplate_MW_,annualProduction_MWh_,lat,long,ROR,Units,Pump,Reservoir,alpha,Slope_NID,Slope_Grand,Head_NID_m_,Storage_m3_,ID,BA,HUC2
13,'Rock_Island_A',1,47.3125,-120.0625,629.43,2430699,47.3462,-120.0917,1,19,0,0,0.05,0.001022427,9999,16.79448,161585880,6200,CHPD,17
14,'EdwardCHyatt2',1,39.5625,-121.5625,798.69,2316594,39.559501,-121.514767,0,6,3,1,0.05,0.007024492,0.03033837,227.9904,4366519200,437,CIPV,18
15,'Libby_1',1,48.4375,-115.3125,525,2053180,48.4116,-115.3083,0,5,0,1,0.05,0.002184231,0.016653828,110.3376,7434200000,6172,BPAT,17
16,'Brownlee1',1,44.8125,-116.9375,585.4,1956571,44.83651,-116.89838,0,5,0,1,0.05,0.004005137,0.01626653,115.824,1813215600,811,IPTV,17
17,'Hoover_Dam_N1',1,36.0625,-114.6875,1037,1909061,36.078949,-114.669798,0,8,0,1,0.05,0.002218684,0.028789176,180.4416,37296734760,154,NEVP,15
18,'Shasta_1',1,40.6875,-122.4375,710,1904135,40.7186,-122.4192,0,5,0,1,0.05,0.004231512,0.023625198,160.3248,5750311073,445,CIPV,18
19,'LowerMonumentl1',1,46.5625,-118.5625,810,1837014,46.548618,-118.581623,1,6,0,0,0.05,0.003197431,9999,30.48,532863360,3927,BPAT,17
20,'Little_Goose_1',1,46.5625,-118.0625,810,1835922,46.58362,-118.02699,1,6,0,0,0.05,0.002795388,9999,29.8704,697162896,3926,BPAT,17
21,'Lower_Granite_1',1,46.6875,-117.4375,810,1781904,46.65797,-117.43103,1,6,0,0,0.05,0.003057819,9999,30.48,598237800,6175,BPAT,17
22,'Noxon_Rapids_1',1,47.9375,-115.6875,532.4,1599527,47.944851,-115.715751,0,5,0,1,0.05,0.004100251,0.007100469,50.4444,493400000,2199,AVA,17
23,'Hells_Canyon_1',1,45.3125,-116.6875,391.5,1589680,45.323169,-116.657432,1,3,0,0,0.05,0.008552093,9999,98.4504,231894240,3013,IPTV,17
24,'Hoover_Dam_A1',1,36.0625,-114.6875,1037,1499968,36.078949,-114.669798,0,9,0,1,0.05,0.002218684,0.028789176,180.4416,37296734760,8902,WALC,15
25,'Dworshak_1',1,46.4375,-116.3125,400,1413670,46.5099,-116.2961,1,3,0,0,0.05,0.006294108,9999,192.9384,4391188800,840,BPAT,17
26,'Ice_Harbor_1',1,46.3125,-118.8125,603,1263927,46.280109,-118.821679,1,6,0,0,0.05,0.00291035,9999,30.48,501409620,3925,BPAT,17
27,'Colgate_1',1,39.4375,-121.1875,352.39,1183876,39.409946,-121.161325,0,2,0,1,0.05,0.010082293,0.025045292,190.8048,1245814800,454,CIPV,18
28,'DevilCanyon1',1,34.1875,-117.3125,280,1143380,34.188092,-117.321368,1,4,0,0,0.05,0.016480441,9999,9.144,1184140.8,436,CISC,18
29,'Kerr_KER1',1,47.6875,-114.1875,207.6,1032055,47.665979,-114.198122,0,3,0,1,0.05,0.001307307,0.007616867,56.9976,2209200000,2188,NWMT,17
30,'CabinetGorge1',1,48.0625,-116.0625,265.2,1021306,48.0856,-116.0571,1,4,0,0,0.05,0.005490876,9999,59.436,129022008,833,AVA,17
31,'Davis_Dam_1',1,35.1875,-114.5625,255,989907,35.1959,-114.57,0,5,0,1,0.05,0.001386478,0.007875066,42.672,2242900000,152,WALC,15
32,'BigCreek3-1',1,37.1875,-119.3125,174.4,943294,37.229702,-119.233391,1,5,0,0,0.05,0.004374901,9999,50.292,110766504,319,CISC,18
33,'Round_Butte_1',1,44.5625,-121.3125,246.9,890175,44.6042,-121.2769,1,3,0,0,0.05,0.007805174,9999,129.54,659911800,3050,PGE,17
34,'DonPedro1',1,37.6875,-120.4375,203.2,886529,37.69806,-120.42051,0,4,0,1,0.05,0.00577099,0.022334204,170.688,2837004000,439,TIDC,18
35,'Hungry_Horse_1',1,48.3125,-114.0625,428,864300,48.34153,-114.01367,1,4,0,0,0.05,0.004373941,9999,160.02,4425726240,2203,BPAT,17
36,'Pit_5_H1',1,40.9375,-121.8125,164,854008,40.959625,-121.857426,1,4,0,0,0.05,0.01504061,9999,11.5824,407048.4,268,CIPV,18
37,'Collierville1',1,38.1875,-120.3125,252.5,848264,38.1461,-120.3547,1,2,0,0,0.05,0.014104233,9999,16.764,394713.6,54555,CIPV,18
38,'Oxbow_(OR)_1',1,44.9375,-116.8125,220,813724,44.97094,-116.83539,0,4,0,1,0.05,0.007734736,0.008649663,39.624,72017963.28,3014,IPTV,17
39,'Folsom_1',1,38.6875,-121.1875,215.1,786069,38.70744,-121.15675,0,3,0,1,0.05,0.003874048,0.013426342,83.82,1235946960,441,BANC,18
40,'Dion_R_Holm_1',1,37.8125,-119.9375,170,782616,37.951196,-119.934782,0,2,0,1,0.05,9999,0.012393547,51.2064,337400000,380,CIPV,18
41,'Gorge21',1,48.6875,-121.1875,207.3,775769,48.702795,-121.168379,0,4,0,1,0.05,0.015889946,0.015362834,102.108,111000000,6431,SCL,17
42,'Mayfield_41',1,46.5625,-122.5625,162,748712,46.5625,-122.5625,0,4,0,1,0.05,0.005697085,0.009811558,70.104,227199615.1,3917,TPWR,17
43,'WhiteRock1',1,38.9375,-120.8125,250,718043,38.7715,-120.8128,1,2,0,0,0.05,0.015612463,9999,29.1084,3873127.2,435,BANC,18
44,'James_B_Black_1',1,41.0625,-121.9375,169.1,704284,41.0414,-121.9853,0,2,0,1,0.05,0.012437292,0.008391464,62.1792,30000000,249,CIPV,18
45,'Jaybird_H1',1,38.8125,-120.5625,154,687258,38.829192,-120.528967,1,2,0,0,0.05,0.040715333,9999,39.624,669779.64,431,BANC,18
46,'Haas1',1,37.0625,-118.9375,144,683120,37.0042,-118.9684,0,2,0,1,0.05,0.007094752,0.010457055,79.248,164792928,240,CIPV,18
47,'BigCreek2A-1',1,37.1875,-119.1875,110,680756,37.232666,-119.146428,0,2,0,1,0.05,0.002713402,0.006713171,36.576,110766504,322,CISC,18
48,'Poe_1',1,39.8125,-121.4375,128,679771,39.8097,-121.4318,1,2,0,0,0.05,0.012755638,9999,12.192,1485109.92,272,CIPV,18
49,'MammothPool1',1,37.3125,-119.3125,190,675630,37.3231,-119.3172,0,2,0,1,0.05,0.014745245,0.016008331,100.584,151700000,344,CISC,18
50,'HelmsPS1',1,37.0625,-118.9375,1218,669715,37.0042,-118.9684,0,3,3,1,0.05,0.007094752,0.010457055,79.248,164792928,6100,CIPV,18
51,'DiabloHydro_31',1,48.6875,-121.1875,166,661220,48.702795,-121.168379,0,2,0,1,0.05,0.015889946,0.015362834,102.108,111000000,6432,SCL,17
52,'R_C_Kirkwood_1',1,37.9375,-119.8125,129.39,643632,37.964502,-119.842081,0,3,0,1,0.05,9999,0.012264447,11.2776,444100000,382,CIPV,18
53,'Castaic_7',1,34.5625,-118.6875,1522,629513,34.553193,-118.668136,0,8,7,1,0.05,0.009704737,0.007100469,51.816,40088100,392,LDWP,18
54,'Balch2-2',1,36.8125,-119.1875,107.1,624693,36.821084,-119.177212,1,2,0,0,0.05,0.072721809,9999,49.9872,400881,218,CIPV,18
55,'Yellowtail_1',1,45.3125,-107.9375,250,606936,45.3163,-107.9216,0,4,0,1,0.05,0.006742877,0.020655911,14.0208,1760600000,2204,WAUW,10
56,'Pine_Flat_1',1,36.8125,-119.3125,173.7,594324,36.8316,-119.325,0,3,0,1,0.05,0.005708992,0.017299326,129.2352,1233500000,7907,CIPV,18
57,'Kerckhoff_2_1',1,37.0625,-119.5625,153.9,581754,37.092232,-119.546436,1,1,0,0,0.05,0.011546254,9999,26.2128,5244756.96,682,CIPV,18
58,'Ross_41',1,48.6875,-121.0625,450,561120,48.73153,-121.06604,0,4,0,1,0.05,0.006439848,0.021301408,120.396,1791938070,6202,SCL,17
59,'Electra_1',1,38.4375,-120.5625,91.99,555322,38.4205,-120.5495,1,3,0,0,0.05,0.031338993,9999,13.716,43788.54,239,CIPV,18
60,'BigCreek4-1',1,37.1875,-119.1875,100,541866,37.229702,-119.233391,1,2,0,0,0.05,0.004374901,9999,50.292,110766504,320,CISC,18
61,'Mossyrock_51',1,46.5625,-122.4375,300,538112,46.5348,-122.42511,0,2,0,1,0.05,0.006694414,0.023883397,161.0868,2343612000,3918,TPWR,17
62,'Rock_Creek_H1',1,39.9375,-121.3125,113.9,536803,39.973751,-121.291966,1,2,0,0,0.05,0.01150008,9999,35.052,5427312,275,CIPV,18
63,'Swift_1_HY11',1,46.0625,-122.1875,240,530583,46.064,-122.197,0,3,0,1,0.05,0.005951261,0.015750132,121.92,931900000,3850,PACW,17
64,'Pit_7_H1',1,40.8125,-122.0625,110.3,525074,40.811134,-122.044777,1,2,0,0,0.05,0.011532024,9999,67.9704,42061668,270,CIPV,18
