plant,power_area
GrandCouleePG07,Northwest
ChiefJoseph01,Northwest
JohnDay01,Northwest
The_Dalles_1,Northwest
Rocky_Reach_C_1,Northwest
Wanapum01,Northwest
Bonneville1,Northwest
McNary01,Northwest
Wells01,Northwest
Priest_Rapids_1,Northwest
Boundary51,Northwest
Glen_Canyon1,Southwest
Rock_Island_A,Northwest
EdwardCHyatt2,Northern_California
Libby_1,Northwest
Brownlee1,Basin
Hoover_Dam_N1,Southwest
Shasta_1,Northern_California
LowerMonumentl1,Northwest
Little_Goose_1,Northwest
Lower_Granite_1,Northwest
Noxon_Rapids_1,Northwest
Hells_Canyon_1,Basin
Hoover_Dam_A1,Southwest
Dworshak_1,Northwest
Ice_Harbor_1,Northwest
Colgate_1,Northern_California
DevilCanyon1,Southern_California
Kerr_KER1,Northwest
CabinetGorge1,Northwest
Davis_Dam_1,Southwest
BigCreek3-1,Southern_California
Round_Butte_1,Northwest
DonPedro1,Northern_California
Hungry_Horse_1,Northwest
Pit_5_H1,Northern_California
Collierville1,Northern_California
Oxbow_(OR)_1,Basin
Folsom_1,Northern_California
Dion_R_Holm_1,Northern_California
Gorge21,Northwest
Mayfield_41,Northwest
WhiteRock1,Northern_California
James_B_Black_1,Northern_California
Jaybird_H1,Northern_California
Haas1,Northern_California
BigCreek2A-1,Southern_California
Poe_1,Northern_California
MammothPool1,Northern_California
HelmsPS1,Northern_California
DiabloHydro_31,Northwest
R_C_Kirkwood_1,Northern_California
Castaic_7,Southern_California
Balch2-2,Northern_California
Yellowtail_1,Northwest
Yellowtail_1,Northwest
Pine_Flat_1,Northern_California
Kerckhoff_2_1,Northern_California
Ross_41,Northwest
Electra_1,Northern_California
BigCreek4-1,Southern_California
Mossyrock_51,Northwest
Rock_Creek_H1,Northern_California
Swift_1_HY11,Northwest
Pit_7_H1,Northern_California
Palisades_1,Basin
MIddleFork1,Northern_California
Camino_H1,Northern_California
Moccasin_1,Northern_California
BigCreek1-1,Southern_California
Thompson_Falls1,Northwest
Long_Lake_1,Northwest
Pit_3_H1,Northern_California
BoxCanyonAVA1,Northwest
Fort_Peck_1,Northwest
Fort_Peck_1,Northwest
Pit_4_1,Northern_California
Caribou_2_4,Northern_California
Parker_Dam_1,Southern_California
Stanislaus_HC1,Northern_California
Ryan1,Northwest
Ryan1,Northwest
Trinity_1,Northern_California
Keswick_1,Northern_California
Exchequer,Northern_California
BigCreek2-3,Southern_California
FlamingGorge1,Basin
Pelton_1,Northwest
Summer_Falls1,Northwest
BigCreek8-1,Northern_California
Pit_6_H1,Northern_California
Merwin_1,Northwest
NewMelones1,Northern_California
Spring_Creek_1,Northern_California
Tiger_Creek_H1,Northern_California
Donnells,Northern_California
Chelan_A_1,Northwest
Belden_1,Northern_California
Yale1,Northwest
CastaicInflowHydro,Southern_California
Woodleaf,Northern_California
H_M_Jackson_1,Northwest
Lower_Baker_3,Northwest
Upper_Baker_1,Northwest
Ralston,Northern_California
Bliss1,Basin
SanFrancisq1_1A,Southern_California
Cresta_1,Northern_California
Morrow_Point_1,Rockies
Detroit_1,Northwest
Cushman1-21,Northwest
Judge_F_Carr_1,Northern_California
Cochrane_COC1,Northwest
Cochrane_COC1,Northwest
