plexos_name,grid_id
Hauser_HAU5,80841
Hauser_HAU6,80841
Hazelton_B1,65047
Hazelton_B2,65047
Headgate_Rock_1,33959
Headgate_Rock_2,33959
Headgate_Rock_3,33959
HeartMountain,72512
Hells_Canyon_1,75235
Hells_Canyon_2,75235
Hells_Canyon_3,75235
Hickman_1,46899
Hickman_2,46899
Hillcrest_PS,54449
H_M_Jackson_1,84939
H_M_Jackson_2,84939
H_M_Jackson_3,84939
H_M_Jackson_4,84939
Holter_HOL1,81305
Holter_HOL2,81305
Holter_HOL3,81305
Holter_HOL4,81305
Hoover_Dam_A1,40915
Hoover_Dam_A2,40915
Hoover_Dam_A3,40915
Hoover_Dam_A4,40915
Hoover_Dam_A5,40915
Hoover_Dam_A6,40915
Hoover_Dam_A7,40915
Hoover_Dam_A8,40915
Hoover_Dam_A9,40915
Hoover_Dam_N1,40915
Hoover_Dam_N2,40915
Hoover_Dam_N3,40915
Hoover_Dam_N4,40915
Hoover_Dam_N5,40915
Hoover_Dam_N6,40915
Hoover_Dam_N7,40915
Hoover_Dam_N8,40915
HorseshoBendHY1,70135
HorseshoBendHY2,70135
Horseshoe1_HY1,NA
Horseshoe2_HY2,NA
Horseshoe3_HY3,NA
Horseshoe4_HY4,NA
HutchinsnCreek1,NA
Hystad_Creek_1,NA
Hystad_Creek_2,NA
IID_Drop1-1,28845
IIDDrop1-2,28845
IIDDrop1-3,28845
IID_Drop_2_1,28845
IID_Drop_2_2,28845
IID_Drop_3_1,28845
IID_Drop_3_2,28845
IID_Drop_4_1,28845
IID_Drop_4_2,28845
IID_Drop_5_1,28843
IID_Drop_5_2,28843
Interlakes_1,NA
Iron_Gate,62661
IsabellaHydroGEN1,39028
IsabellaHydroGEN2,39028
James_B_Black_1,59417
James_B_Black_2,59417
Jaybird_H1,51076
Jaybird_H2,51076
JohnDay01,76594
JohnDay02,76594
JohnDay03,76594
JohnDay04,76594
JohnDay05,76594
JohnDay06,76594
JohnDay07,76594
JohnDay08,76594
JohnDay09,76594
JohnDay10,76594
JohnDay11,76594
JohnDay12,76594
JohnDay13,76594
JohnDay14,76594
JohnDay15,76594
JohnDay16,76594
JohnHart1,NA
JohnHart2,NA
JohnHart3,NA
JohnHart4,NA
JohnHart5,NA
JohnHart6,NA
Jordan_River,NA
Kananaskis1_1,NA
Kananaskis2_HY2,NA
Kananaskis3_HY3,NA
KaselWitherpoonCoLS1,65508
KaselWitherpoonCoLS2,65508
KaselWitherpoonCoLS3,65508
KaselWitherpoonCoLS4,65508
KaselWitherpoonCoLS5,65508
KaselWitherpoonCoUE5,65508
KaselWitherpoonCoUW1,65508
KaselWitherpoonCoUW2,65508
KaselWitherpoonCoUW3,65508
KaselWitherpoonCoUW4,65508
Kaweah1,42274
Kaweah2,42273
Kaweah3-1,42739
Kaweah3-2,42739
Kemano_1,NA
Kemano_2,NA
Kemano_3,NA
Kemano_4,NA
Kemano_5,NA
Kemano_6,NA
Kemano_7,NA
Kemano_8,NA
Kerr_KER1,84071
Kerr_KER2,84071
Kerr_KER3,84071
Koma_Kulshan,87258
KootenayCanal1,NA
KootenayCanal2,NA
KootenayCanal3,NA
KootenayCanal4,NA
Koyle_Ranch,66435
Ladore_Falls_1,NA
Ladore_Falls_2,NA
LaGrande_1,80758
LaGrande_2,80758
LaGrande_3,80758
LaGrande_4,80758
LaGrande_5,80758
Lahontan_1,53409
Lahontan_2,53409
Lahontan_3,53409
La_Joie_1,NA
LakeMathews,33004
LakeMendocino,52912
Lakewood_Hydro,55838
LamontUprStave1,NA
LamontUprStave2,NA
LateralVentures,65506
L_Bonnington_1,NA
L_Bonnington_2,NA
L_Bonnington_3,NA
Leaburg_1,70546
Leaburg_2,70546
Lemolo_2_1,67765
LimeSaddle1,53852
LimeSaddle2,53852
Little_Falls_1,84505
Little_Falls_2,84505
Little_Falls_3,84505
Little_Falls_4,84505
Little_Goose_1,79864
Little_Goose_2,79864
Little_Goose_3,79864
Little_Goose_4,79864
Little_Goose_5,79864
Little_Goose_6,79864
LittleMac1,65508
LittleMac2,65508
LittleMac3,65508
LittleMac4,65508
LittlewoodArksh,NA
