POINTID,HUC4,lat,long
4769,1002,46.3125,-112.4375
4770,1002,46.3125,-112.3125
4771,1002,46.3125,-112.1875
4772,1002,46.3125,-112.0625
4773,1002,46.3125,-111.9375
4977,1002,46.1875,-112.5625
4978,1002,46.1875,-112.4375
4979,1002,46.1875,-112.3125
4980,1002,46.1875,-112.1875
4981,1002,46.1875,-112.0625
4982,1002,46.1875,-111.9375
4983,1002,46.1875,-111.8125
5186,1002,46.0625,-112.4375
5187,1002,46.0625,-112.3125
5188,1002,46.0625,-112.1875
5189,1002,46.0625,-112.0625
5190,1002,46.0625,-111.9375
5191,1002,46.0625,-111.8125
5387,1002,45.9375,-113.4375
5388,1002,45.9375,-113.3125
5389,1002,45.9375,-113.1875
5390,1002,45.9375,-113.0625
5391,1002,45.9375,-112.9375
5396,1002,45.9375,-112.3125
5397,1002,45.9375,-112.1875
5398,1002,45.9375,-112.0625
5399,1002,45.9375,-111.9375
5400,1002,45.9375,-111.8125
5401,1002,45.9375,-111.6875
5402,1002,45.9375,-111.5625
5403,1002,45.9375,-111.4375
5404,1002,45.9375,-111.3125
5405,1002,45.9375,-111.1875
5406,1002,45.9375,-111.0625
5594,1002,45.8125,-113.6875
5595,1002,45.8125,-113.5625
5596,1002,45.8125,-113.4375
5597,1002,45.8125,-113.3125
5598,1002,45.8125,-113.1875
5599,1002,45.8125,-113.0625
5600,1002,45.8125,-112.9375
5601,1002,45.8125,-112.8125
5602,1002,45.8125,-112.6875
5603,1002,45.8125,-112.5625
5604,1002,45.8125,-112.4375
5605,1002,45.8125,-112.3125
5606,1002,45.8125,-112.1875
5607,1002,45.8125,-112.0625
5608,1002,45.8125,-111.9375
5609,1002,45.8125,-111.8125
5610,1002,45.8125,-111.6875
5611,1002,45.8125,-111.5625
5612,1002,45.8125,-111.4375
5613,1002,45.8125,-111.3125
5614,1002,45.8125,-111.1875
5615,1002,45.8125,-111.0625
5616,1002,45.8125,-110.9375
5805,1002,45.6875,-113.8125
5806,1002,45.6875,-113.6875
5807,1002,45.6875,-113.5625
5808,1002,45.6875,-113.4375
5809,1002,45.6875,-113.3125
5810,1002,45.6875,-113.1875
5811,1002,45.6875,-113.0625
5812,1002,45.6875,-112.9375
5813,1002,45.6875,-112.8125
5814,1002,45.6875,-112.6875
5815,1002,45.6875,-112.5625
5816,1002,45.6875,-112.4375
5817,1002,45.6875,-112.3125
5818,1002,45.6875,-112.1875
5819,1002,45.6875,-112.0625
5820,1002,45.6875,-111.9375
5821,1002,45.6875,-111.8125
5822,1002,45.6875,-111.6875
5823,1002,45.6875,-111.5625
5824,1002,45.6875,-111.4375
5825,1002,45.6875,-111.3125
5826,1002,45.6875,-111.1875
5827,1002,45.6875,-111.0625
5828,1002,45.6875,-110.9375
5829,1002,45.6875,-110.8125
6019,1002,45.5625,-113.8125
6020,1002,45.5625,-113.6875
6021,1002,45.5625,-113.5625
6022,1002,45.5625,-113.4375
6023,1002,45.5625,-113.3125
6024,1002,45.5625,-113.1875
6025,1002,45.5625,-113.0625
6026,1002,45.5625,-112.9375
6027,1002,45.5625,-112.8125
6028,1002,45.5625,-112.6875
6029,1002,45.5625,-112.5625
6030,1002,45.5625,-112.4375
6031,1002,45.5625,-112.3125
6032,1002,45.5625,-112.1875
6033,1002,45.5625,-112.0625
6034,1002,45.5625,-111.9375
6035,1002,45.5625,-111.8125
6036,1002,45.5625,-111.6875
6037,1002,45.5625,-111.5625
6038,1002,45.5625,-111.4375
6039,1002,45.5625,-111.3125
6040,1002,45.5625,-111.1875
6041,1002,45.5625,-111.0625
6042,1002,45.5625,-110.9375
6234,1002,45.4375,-113.6875
6235,1002,45.4375,-113.5625
6236,1002,45.4375,-113.4375
6237,1002,45.4375,-113.3125
6238,1002,45.4375,-113.1875
6239,1002,45.4375,-113.0625
