ShortName	Unit_ID	PlantID	max	lonAdj	ladAdj
BRUSHCOG	593278	73369	81.6	-103.6875	40.3125
COLPOPRT	585436	1921	81.6	-103.6875	40.3125
COLPOPRT	585436	1921	81.6	-103.6875	40.3125
BRUSHIV1	607006	2167	81.6	-103.6875	40.3125
BRUSHIV1	607006	2167	81.6	-103.6875	40.3125
RCKYMTEC	588557	76973	0.6	-104.5625	40.0625
RCKYMTEC	588557	76973	0.6	-104.5625	40.0625
THERMOPO	593197	1989	82.7	-104.6875	40.4375
THERMOPO	593197	1989	82.7	-104.6875	40.4375
FRONTRAN	593003	74486	0.9	-104.6875	38.5625
FRONTRAN	593003	74486	0.9	-104.6875	38.5625
TCP150(T	594148	1990	54.1	-104.8125	40.0625
TCP150(T	594148	1990	54.1	-104.8125	40.0625
TCP150(T	594148	1990	54.1	-104.8125	40.0625
TCP122(T	593229	1990	54.1	-104.8125	40.0625
TCP122(T	593229	1990	54.1	-104.8125	40.0625
FORTSTVR	583590	1737	53.9	-104.8125	40.1875
FORTSTVR	583590	1737	53.9	-104.8125	40.1875
FORTSTVR	583590	1737	53.9	-104.8125	40.1875
ARAPAHCT	593755	1871	43	-105.0625	39.6875
ARAPAHCT	593755	1871	43	-105.0625	39.6875
NEWMANB	875334	1593	0.4	-106.3125	31.9375
NEWMANA	875334	1593	0.4	-106.3125	31.9375
NEWMANCC	442420	1593	0.4	-106.3125	31.9375
NEWMANCC	442420	1593	0.4	-106.3125	31.9375
AFTONCC1	442790	72775	0.2	-106.9375	32.1875
RIFLE1C	585586	1930	117.7	-107.8125	39.5625
RIFLE1B	585586	1930	117.7	-107.8125	39.5625
RIFLE1A	585586	1930	117.7	-107.8125	39.5625
LUNAENER	593499	75616	2.5	-107.8125	32.3125
LUNAENER	593499	75616	2.5	-107.8125	32.3125
ANIMASCT	585584	72905	76.2	-108.3125	36.6875
BLUFFVIE	589049	587994	76.2	-108.3125	36.6875
BOWIEPCT	588785	73293	0.3	-109.4375	32.3125
BOWIEPCT	588785	73293	0.3	-109.4375	32.3125
APACHECC	408166	2273	0.9	-109.8125	31.9375
NEBOPAYS	589076	588012	1.8	-111.8125	40.0625
SANTANCS	389621	1826	38.2	-111.8125	33.4375
SANTANCS	389620	1826	38.2	-111.8125	33.4375
SANTANCS	389619	1826	38.2	-111.8125	33.4375
SANTANCS	389618	1826	38.2	-111.8125	33.4375
SANTANCT	588687	1826	38.2	-111.8125	33.4375
SANTANCT	588873	1826	38.2	-111.8125	33.4375
SANTANCT	588873	1826	38.2	-111.8125	33.4375
LAKSIDPP	632008	632007	27.1	-111.8125	40.3125
LAKSIDPP	632008	632007	27.1	-111.8125	40.3125
DESERTBA	583723	2138	22.6	-111.8125	32.8125
DESERTBA	583723	2138	22.6	-111.8125	32.8125
CURRANTC	606382	606380	3.5	-111.9375	39.9375
CURRANTC	606382	606380	3.5	-111.9375	39.9375
KYRENECC	587133	2272	37.6	-111.9375	33.4375
WESTPHCT	587140	2264	40	-112.1875	33.4375
WESTPHCT	587140	2264	40	-112.1875	33.4375
WESTPHCT	408140	2264	40	-112.1875	33.4375
WESTPHCS	392195	2264	40	-112.1875	33.4375
WESTPHCS	392194	2264	40	-112.1875	33.4375
WESTPHCS	392193	2264	40	-112.1875	33.4375
GILARIVE	589632	76451	135.4	-112.8125	32.9375
GILARIVE	589632	76451	135.4	-112.8125	32.9375
GILARIVE	589631	76451	135.4	-112.8125	32.9375
GILARIVE	589631	76451	135.4	-112.8125	32.9375
GILARIVE	589630	76451	135.4	-112.8125	32.9375
GILARIVE	589630	76451	135.4	-112.8125	32.9375
GILARIVE	589629	76451	135.4	-112.8125	32.9375
GILARIVE	589629	76451	135.4	-112.8125	32.9375
REDHAWK2	589647	76847	2.1	-112.9375	33.3125
REDHAWK2	589647	76847	2.1	-112.9375	33.3125
REDHAWK1	589646	76847	2.1	-112.9375	33.3125
REDHAWK1	589646	76847	2.1	-112.9375	33.3125
MESQUITE	583753	75818	2.1	-112.9375	33.3125
MESQUITE	583753	75818	2.1	-112.9375	33.3125
MESQUITE	583752	75818	2.1	-112.9375	33.3125
MESQUITE	583752	75818	2.1	-112.9375	33.3125
ARLNGTCT	607406	72931	2.1	-112.9375	33.3125
ARLNGTCT	607406	72931	2.1	-112.9375	33.3125
SCOTFORD	613716	613715	0	-113.0625	53.8125
HARQUAHA	649608	74816	0.9	-113.1875	33.4375
