Generator,Data File,Multiplier
Pigeon_Cove_1,HY_Generic_2010[Keswick05].csv,Escalator0.000189
Pit_1_H1,HY_Pit1_2010[05].csv,Escalator0.0032
Pit_1_H2,HY_Pit1_2010[05].csv,Escalator0.0032
Pit_3_H1,HY_Pit3_2010[05].csv,Escalator0.00267
Pit_3_H2,HY_Pit3_2010[05].csv,Escalator0.00267
Pit_3_H3,HY_Pit3_2010[05].csv,Escalator0.00267
Pit5_Agg,HY_Generic_2010[Keswick05].csv,Escalator0.000375
POCATERA_1,HY_Generic_2010[Keswick05].csv,Escalator0.0012
PointLomaHY,HY_Generic_2010[Keswick05].csv,Escalator0.000135
Pole_Hill_1,HY_PoleHill_2010[05].csv,Escalator0.00382
Poole_1,HY_BishopCreek_2010[05].csv,Escalator0.00109
Portal,HY_Portal_2010[05].csv,Escalator0.00108
Potter_Valley_1,HY_EelRiver_2010[05].csv,Escalator0.000473
Potter_Valley_2,HY_EelRiver_2010[05].csv,Escalator0.000215
Potter_Valley_3,HY_EelRiver_2010[05].csv,Escalator0.000322
Priest_Rapids_1,HY_PrstRpds_2010[05].csv,Escalator0.0095
Priest_Rapids_2,HY_PrstRpds_2010[05].csv,Escalator0.00978
Priest_Rapids_3,HY_PrstRpds_2010[05].csv,Escalator0.0095
Priest_Rapids_4,HY_PrstRpds_2010[05].csv,Escalator0.0095
Priest_Rapids_5,HY_PrstRpds_2010[05].csv,Escalator0.0095
Priest_Rapids_6,HY_PrstRpds_2010[05].csv,Escalator0.0095
Priest_Rapids_7,HY_PrstRpds_2010[05].csv,Escalator0.0095
Priest_Rapids_8,HY_PrstRpds_2010[05].csv,Escalator0.0095
Priest_Rapids_9,HY_PrstRpds_2010[05].csv,Escalator0.00978
Priest_Rapids10,HY_PrstRpds_2010[05].csv,Escalator0.0095
PristineSpgs1_1,HY_Generic_2010[Keswick05].csv,Escalator0.000013
PristineSpgs3_1,HY_Generic_2010[Keswick05].csv,Escalator0.00002
R_C_Kirkwood_1,HY_Kirkwood_2010[05].csv,Escalator0.004313
R_C_Kirkwood_2,HY_Kirkwood_2010[05].csv,Escalator0.004313
R_C_Kirkwood_3,HY_Kirkwood_2010[05].csv,Escalator0.004313
Ralston,HY_Ralston_2010[05].csv,Escalator0.00895
Rancho,HY_Generic_2010[Keswick05].csv,Escalator0.000465
Raymond,HY_RayRes_2010[05].csv,Escalator0.002
RECTOR_Agg,HY_Generic_2010[Keswick05].csv,Escalator0.001953
Red_Mountain_1,HY_Generic_2010[Keswick05].csv,Escalator0.00059
Reynolds,HY_Generic_2010[Keswick05].csv,Escalator0.000026
RHONDO,HY_Generic_2010[Keswick05].csv,Escalator0.000512
Rim_View_1,HY_Generic_2010[Keswick05].csv,Escalator0.00002
Rio_Hondo_1,HY_Generic_2010[Keswick05].csv,Escalator0.000191
RioBravo_Hydro1,HY_Kern_River_2010[05].csv,Escalator0.00092
RioBravo_Hydro2,HY_Kern_River_2010[05].csv,Escalator0.00092
RioOso_QF,HY_Generic_2010[Keswick05].csv,Escalator0.00025
Robbs_Peak_1,HY_SMUDHydro_2010[05].csv,Escalator0.00243
Rock_Island_A,HY_RockIsland_2010[05].csv,Escalator0.0001225
Rock_Island_B_1,HY_RockIsland_2010[05].csv,Escalator0.00207
Rock_Island_B_2,HY_RockIsland_2010[05].csv,Escalator0.00207
Rock_Island_B_3,HY_RockIsland_2010[05].csv,Escalator0.00207
Rock_Island_B_4,HY_RockIsland_2010[05].csv,Escalator0.00207
Rock_Island_B_5,HY_RockIsland_2010[05].csv,Escalator0.00225
Rock_Island_B_6,HY_RockIsland_2010[05].csv,Escalator0.00225
Rock_Island_B_7,HY_RockIsland_2010[05].csv,Escalator0.00225
Rock_Island_B_8,HY_RockIsland_2010[05].csv,Escalator0.00225
Rock_Island_B_9,HY_RockIsland_2010[05].csv,Escalator0.00225
Rock_Island_B10,HY_RockIsland_2010[05].csv,Escalator0.00225
Rock_Island_U_1,HY_RockIsland_2010[05].csv,Escalator0.00513
Rock_Island_U_2,HY_RockIsland_2010[05].csv,Escalator0.00513
Rock_Island_U_3,HY_RockIsland_2010[05].csv,Escalator0.00513
Rock_Island_U_4,HY_RockIsland_2010[05].csv,Escalator0.00513
Rock_Island_U_5,HY_RockIsland_2010[05].csv,Escalator0.00513
Rock_Island_U_6,HY_RockIsland_2010[05].csv,Escalator0.00513
Rock_Island_U_7,HY_RockIsland_2010[05].csv,Escalator0.00513
Rock_Island_U_8,HY_RockIsland_2010[05].csv,Escalator0.00513
Rollins,HY_MiddleForkYuba_2010[05].csv,Escalator0.00135
Rush_Creek_1,HY_BishopCreek_2010[05].csv,Escalator0.000513
Rush_Creek_2,HY_BishopCreek_2010[05].csv,Escalator0.000637
Sagebrush_1,HY_Generic_2010[Keswick05].csv,Escalator0.000043
Sahko_1,HY_Generic_2010[Keswick05].csv,Escalator0.00005
San_Joaquin_2_1,HY_SanJoachinWishon_2010[05].csv,Escalator0.00032
San_Joaquin_3_3,HY_SanJoachinWishon_2010[05].csv,Escalator0.00042
Sand_Bar,HY_StanislausDonnels_2010[05].csv,Escalator0.00186
SanJoaquin1A,HY_SanJoachinWishon_2010[05].csv,Escalator0.00004
SAUGUS,HY_Generic_2010[Keswick05].csv,Escalator0.000933
Sawtelle_1,HY_Generic_2010[Keswick05].csv,Escalator0.000064
Schaffner_1,HY_Generic_2010[Keswick05].csv,Escalator0.000053
Seminoe_1,HY_Seminoe_2010[05].csv,Escalator0.00172
Seminoe_2,HY_Seminoe_2010[05].csv,Escalator0.00172
Seminoe_3,HY_Seminoe_2010[05].csv,Escalator0.00172
Shasta_River_1,HY_Generic_2010[Keswick05].csv,Escalator0.00001
Shingle_Creek_1,HY_Generic_2010[Keswick05].csv,Escalator0.000022
Sierra1,HY_Generic_2010[Keswick05].csv,Escalator0.000037
Sierra2,HY_Generic_2010[Keswick05].csv,Escalator0.000037
Slab_Creek_1,HY_Generic_2010[Keswick05].csv,Escalator0.000048
Sly_Creek_1,HY_SFeatherPalermo_2010[05].csv,Escalator0.0013
SmithCreek,HY_Generic_2010[Keswick05].csv,Escalator0.000008
Snake_River,HY_Generic_2010[Keswick05].csv,Escalator0.000007
Snedigar_1,HY_Generic_2010[Keswick05].csv,Escalator0.000054
South_1,HY_BattleRiver_2010[05].csv,Escalator0.00071
Spaulding_2_1,HY_YubaBear_2010[05].csv,Escalator0.000767
Spaulding_3_1,HY_YubaBear_2010[05].csv,Escalator0.00065
Spaulding1-1,HY_YubaBear_2010[05].csv,Escalator0.000767
Spring_Creek_1,HY_SpringCreek_2010[05].csv,Escalator0.00958
Spring_Creek_2,HY_SpringCreek_2010[05].csv,Escalator0.00958
Spring_Gap_1,HY_StanislausDonnels_2010[05].csv,Escalator0.0007
St.Johns,HY_Generic_2010[Keswick05].csv,Escalator0.000108
St_Marys_Dam,HY_Generic_2010[Keswick05].csv,Escalator0.00023
Stagecoach,HY_Generic_2010[Keswick05].csv,Escalator0.000082
Stanislaus_HC1,HY_Stanislaus_2010[05].csv,Escalator0.0091
Stone_Drop_1,HY_Generic_2010[Keswick05].csv,Escalator0.000024
SunshineCO,HY_Generic_2010[Keswick05].csv,Escalator0.00007
Swift_1_HY11,HY_Swift1_2010[05].csv,Escalator0.008
Swift_1_HY12,HY_Swift1_2010[05].csv,Escalator0.008
Swift_1_HY13,HY_Swift1_2010[05].csv,Escalator0.008
SygitowiczCreek,HY_Generic_2010[Keswick05].csv,Escalator0.000045
TableMountainQF,HY_Generic_2010[Keswick05].csv,Escalator0.00058
TaylorHydro,HY_Taylor_2010[05].csv,Escalator0.0014
Temescal_1,HY_Generic_2010[Keswick05].csv,Escalator0.000285
TESLA_QF,HY_Generic_2010[Keswick05].csv,Escalator0.000246
Thermalito_1,HY_THermalito_2010[05].csv,Escalator0.004042
Tiber_Dam,HY_Generic_2010[Keswick05].csv,Escalator0.00075
Toadtown_1,HY_WestFeatherRiver_2010[05].csv,Escalator0.00015
Toketee_Falls_1,HY_Toketee_2010[05].csv,Escalator0.001467
Toketee_Falls_2,HY_Toketee_2010[05].csv,Escalator0.001467
Toketee_Falls_3,HY_Toketee_2010[05].csv,Escalator0.001467
Towaoc_1,HY_Towaoc_2010[05].csv,Escalator0.00115
Trail_Bridge,HY_Generic_2010[Keswick05].csv,Escalator0.001
TroutCoBillngsleyCrk,HY_Generic_2010[Keswick05].csv,Escalator0.000024
Tule_River1,HY_Generic_2010[Keswick05].csv,Escalator0.00042
Tule_River2,HY_Generic_2010[Keswick05].csv,Escalator0.00042
Tule_River3,HY_Generic_2010[Keswick05].csv,Escalator0.00013
Tule_River4,HY_Generic_2010[Keswick05].csv,Escalator0.00013
Tulloch_1,HY_StanislausDonnels_2010[05].csv,Escalator0.000985
Tulloch_2,HY_StanislausDonnels_2010[05].csv,Escalator0.000985
Turnip_1,HY_Generic_2010[Keswick05].csv,Escalator0.00004
Upper_Dawson_1,HY_TuolumneDonPedro_2010[05].csv,Escalator0.00044
VecinoVineyards,HY_Generic_2010[Keswick05].csv,Escalator0.000125
Venice_1,HY_Generic_2010[Keswick05].csv,Escalator0.001014
Volta_2_1,HY_BattleRiver_2010[05].csv,Escalator0.0001
VOLTA_QF,HY_Generic_2010[Keswick05].csv,Escalator0.00029
Volta1-1,HY_BattleRiver_2010[05].csv,Escalator0.00091
W_E_Warne_1,HY_WEWarne_2010[05].csv,Escalator0.00391
W_E_Warne_2,HY_WEWarne_2010[05].csv,Escalator0.00391
Wanapum01,HY_Wanapum_2010[05].csv,Escalator0.01228
Wanapum03,HY_Wanapum_2010[05].csv,Escalator0.01038
Wanapum04,HY_Wanapum_2010[05].csv,Escalator0.01038
Wanapum06,HY_Wanapum_2010[05].csv,Escalator0.01038
Wanapum08,HY_Wanapum_2010[05].csv,Escalator0.01038
Wanapum09,HY_Wanapum_2010[05].csv,Escalator0.01038
Wanapum10,HY_Wanapum_2010[05].csv,Escalator0.01038
WarmSprings,HY_Generic_2010[Keswick05].csv,Escalator0.000375
Waterton_Dam,HY_Generic_2010[Keswick05].csv,Escalator0.00027
WATERWHEELRANCH,HY_Generic_2010[Keswick05].csv,Escalator0.0001
WestPoint_1,HY_MokelumneRiver_2010[05].csv,Escalator0.0014
Whiskeytown_1,HY_Whiskeytown_2010[05].csv,Escalator0.00035
WhiteWaterRanch,HY_Generic_2010[Keswick05].csv,Escalator0.000016
Wise1,HY_YubaBear_2010[05].csv,Escalator0.00145
Wise2,HY_YubaBear_2010[05].csv,Escalator0.00032
Woodleaf,HY_Woodleaf_2010[05].csv,Escalator0.006
YakamaDrop2,HY_Generic_2010[Keswick05].csv,Escalator0.00025
YakamaDrop3-1,HY_Generic_2010[Keswick05].csv,Escalator0.00008
YakamaDrop3-2,HY_Generic_2010[Keswick05].csv,Escalator0.00008
Yale1,HY_Yale_2010[05].csv,Escalator0.0067
Yale2,HY_Yale_2010[05].csv,Escalator0.0067
YoungsCreek,HY_Generic_2010[Keswick05].csv,Escalator0.00075
