Generator,Data File,Multiplier
Bonneville6,HY_Boneville_2010[05].csv,Escalator0.006
Bonneville7,HY_Boneville_2010[05].csv,Escalator0.006
Bonneville8,HY_Boneville_2010[05].csv,Escalator0.006
Bonneville9,HY_Boneville_2010[05].csv,Escalator0.006
BonnevilleF1,HY_Boneville_2010[05].csv,Escalator0.00131
BonnevilleF2,HY_Boneville_2010[05].csv,Escalator0.00131
Borden-QFAgg,HY_Generic_2010[Keswick05].csv,Escalator0.000224
Borel1,HY_BishopCreek_2010[05].csv,Escalator0.000275
Borel2,HY_BishopCreek_2010[05].csv,Escalator0.000275
Borel3,HY_BishopCreek_2010[05].csv,Escalator0.00055
Bowman_GEN1,HY_YubaBear_2010[05].csv,Escalator0.000625
BoxCanyonID,HY_Generic_2010[Keswick05].csv,Escalator0.000056
Boysen1,HY_Boysen_2010[05].csv,Escalator0.00075
Boysen2,HY_Boysen_2010[05].csv,Escalator0.00075
BriggsCreek1,HY_Generic_2010[Keswick05].csv,Escalator0.00006
Bucks_Creek_H1,HY_BucksCreek_2010[05].csv,Escalator0.00295
Bucks_Creek_H2,HY_BucksCreek_2010[05].csv,Escalator0.00295
Buffalo_Bill_1,HY_BuffBill_2010[05].csv,Escalator0.0006
Buffalo_Bill_2,HY_BuffBill_2010[05].csv,Escalator0.0006
Buffalo_Bill_3,HY_BuffBill_2010[05].csv,Escalator0.0006
Burney_Creek,HY_BurneyCreek_2010[05].csv,Escalator0.0003
Burney_QF,HY_Generic_2010[Keswick05].csv,Escalator0.0001
Burton_Creek,HY_Generic_2010[Keswick05].csv,Escalator0.000048
CabinetGorge1,HY_CabGorge_2010[05].csv,Escalator0.00594
CabinetGorge2,HY_CabGorge_2010[05].csv,Escalator0.00732
CabinetGorge3,HY_CabGorge_2010[05].csv,Escalator0.00732
CabinetGorge4,HY_CabGorge_2010[05].csv,Escalator0.00594
Camanche_1,HY_MokelumneRiver_2010[05].csv,Escalator0.000333
Camanche_2,HY_MokelumneRiver_2010[05].csv,Escalator0.000333
Camanche_3,HY_MokelumneRiver_2010[05].csv,Escalator0.000333
Camp_Far_West_1,HY_SFeatherColgate_2010[05].csv,Escalator0.00079
Canyon_Ferry_1,HY_CanyonFerry_2010[05].csv,Escalator0.00166
Canyon_Ferry_2,HY_CanyonFerry_2010[05].csv,Escalator0.00166
Canyon_Ferry_3,HY_CanyonFerry_2010[05].csv,Escalator0.00166
Canyon_Springs,HY_Generic_2010[Keswick05].csv,Escalator0.000013
Cascade_CO,HY_Generic_2010[Keswick05].csv,Escalator0.0001
Cedar_Draw_1,HY_Generic_2010[Keswick05].csv,Escalator0.00023
Centerville1,HY_WestFeatherRiver_2010[05].csv,Escalator0.000507
Centerville2,HY_WestFeatherRiver_2010[05].csv,Escalator0.000083
Chicago_Park_2P,HY_ChiPark_2010[05].csv,Escalator0.0042
