Ref ID,Plant/Unit (Short),Plant/Unit (Long),Bus #,ID,WECC Class Code,Status in GridView Model,Resource Modeling Category,TEPPC Area,TEPPC Region,County,State,Count for RPS?,Annual Energy (MWh),GV SubType,Generator Type,Primary Fuel,Hourly Profile,Hydro Region,Hydro Model,Nameplate (MW),SumCap (MW),WinCap (MW),Fuel Zone,"Commission Date","Retirement Date",Owner,"Ownership Shares","Confidential Location?","Latitude(Red=Confidential)","Longitude(Red=Confidential)",2022 PROMOD,PLANT_CODE,GENERATOR_ID,cooling,fuel E3,reported water source,waterpowercheck,
13,DutchWind,Dutch Wind-1,24460,1,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern/Riverside,CA,Yes,18579,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,8,8,8,DefaultFuel,1/1/1982,12/31/2050,Dutch Energy Corporation,,No,33.918302,-116.548879,ANTELOPE WIND,57301,DEC,None,Biomass,Unknown Freshwater,,
14,MorWind,Mor Wind-1,24465,1,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,130051,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,56,56,56,DefaultFuel,1/1/1982,12/31/2050,,,No,34.90208673,-118.1365488,ANTELOPE WIND,,,#N/A,#N/A,#N/A,,
15,MidWind,Mid Wind-1,24481,1,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,41802,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,18,18,18,DefaultFuel,1/1/1982,12/31/2050,,,No,34.90208673,-118.1365488,ANTELOPE WIND,,,#N/A,#N/A,#N/A,,
16,SouthWind,South Wind-1,24482,1,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,15327,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,6.6,6.6,6.6,DefaultFuel,1/1/1982,12/31/2050,,,No,34.90208673,-118.1365488,ANTELOPE WIND,,,#N/A,#N/A,#N/A,,
17,NorthWind,North Wind-1,24483,1,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,45054,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,19.4,19.4,19.4,DefaultFuel,1/1/1982,12/31/2050,,,No,34.90208673,-118.1365488,ANTELOPE WIND,,,#N/A,#N/A,#N/A,,
18,ZondWind1,Zond Wind-1,24484,1,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,30655,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,13.2,13.2,13.2,DefaultFuel,1/1/1982,12/31/2050,,,No,34.90208673,-118.1365488,ANTELOPE WIND,,,#N/A,#N/A,#N/A,,
19,ZondWind2,Zond Wind-2,24485,1,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,29726,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,12.8,12.8,12.8,DefaultFuel,1/1/1982,12/31/2050,,,No,34.90208673,-118.1365488,ANTELOPE WIND,,,#N/A,#N/A,#N/A,,
20,Breeze1,Breeze-1,24486,1,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,10451,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,4.5,4.5,4.5,DefaultFuel,1/1/1982,12/31/2050,,,No,34.90208673,-118.1365488,ANTELOPE WIND,,,#N/A,#N/A,#N/A,,
21,Breeze2,Breeze-2,24487,1,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,18579,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,8,8,8,DefaultFuel,1/1/1982,12/31/2050,,,No,34.90208673,-118.1365488,ANTELOPE WIND,,,#N/A,#N/A,#N/A,,
22,OakCreek1,Oak Creek Energy Systems I-1|Oak Wind-1,24491,T1,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,8128,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,3.5,3.5,3.5,DefaultFuel,6/1/1982,12/31/2050,Oak Creek Energy System Inc II,,No,35.033828,-118.352027,ANTELOPE WIND,50754,GEN1,None,Wind,Unknown Freshwater,,
