Generator,Data File,Multiplier
AlbeniFalls1,HY_AlbeniFalls_2024[05],Escalator0.00142
AlbeniFalls2,HY_AlbeniFalls_2024[05],Escalator0.00142
AlbeniFalls3,HY_AlbeniFalls_2024[05],Escalator0.00142
Alcova1,HY_Alcova_2024[05],Escalator0.00207
Alcova2,HY_Alcova_2024[05],Escalator0.00207
Balch1-1,HY_Balch1_2024[05],Escalator0.0034
Olsen_GEN1,HY_BattleRiver_2024[05],Escalator0.00058
Big_Cliff_1,HY_BigCliff_2024[05],Escalator0.0018
Alamo_1,HY_BishopCreek_2024[05],Escalator0.0018
Borel1,HY_BishopCreek_2024[05],Escalator0.000275
Borel2,HY_BishopCreek_2024[05],Escalator0.000275
Borel3,HY_BishopCreek_2024[05],Escalator0.00055
Poole_1,HY_BishopCreek_2024[05],Escalator0.00109
Bonneville1,HY_Boneville_2024[05],Escalator0.0047
Bonneville10,HY_Boneville_2024[05],Escalator0.006
Bonneville11,HY_Boneville_2024[05],Escalator0.00765
Bonneville12,HY_Boneville_2024[05],Escalator0.00765
Bonneville13,HY_Boneville_2024[05],Escalator0.00765
Bonneville14,HY_Boneville_2024[05],Escalator0.00765
Bonneville15,HY_Boneville_2024[05],Escalator0.00765
Bonneville16,HY_Boneville_2024[05],Escalator0.00765
Bonneville17,HY_Boneville_2024[05],Escalator0.00765
Bonneville18,HY_Boneville_2024[05],Escalator0.00765
Bonneville2,HY_Boneville_2024[05],Escalator0.0059
Bonneville3,HY_Boneville_2024[05],Escalator0.006
Bonneville4,HY_Boneville_2024[05],Escalator0.006
Bonneville5,HY_Boneville_2024[05],Escalator0.006
Bonneville6,HY_Boneville_2024[05],Escalator0.006
Bonneville7,HY_Boneville_2024[05],Escalator0.006
Bonneville8,HY_Boneville_2024[05],Escalator0.006
Bonneville9,HY_Boneville_2024[05],Escalator0.006
BonnevilleF1,HY_Boneville_2024[05],Escalator0.00131
BonnevilleF2,HY_Boneville_2024[05],Escalator0.00131
John_C_Boyle_1,HY_Boyle_2024[05],Escalator0.005035
John_C_Boyle_2,HY_Boyle_2024[05],Escalator0.004763
Boysen1,HY_Boysen_2024[05],Escalator0.00075
Boysen2,HY_Boysen_2024[05],Escalator0.00075
Bucks_Creek_H1,HY_BucksCreek_2024[05],Escalator0.00295
Bucks_Creek_H2,HY_BucksCreek_2024[05],Escalator0.00295
Buffalo_Bill_1,HY_BuffBill_2024[05],Escalator0.0006
Buffalo_Bill_2,HY_BuffBill_2024[05],Escalator0.0006
